Year,Category,Title,Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Note
2015,FRUIT,Pears,Doyenne Du Comice,2nd,$/kg,0.41,0.51,0.39,0.33,,,,,,,,,
2015,FRUIT,Pears,Doyenne Du Comice,Ave,$/kg,0.59,0.62,0.55,0.5,0.61,,,,,,,,
2015,FRUIT,Pears,William's Bon Chretien,1st,$/kg,,,,,,,,,,,,,
2015,FRUIT,Pears,William's Bon Chretien,2nd,$/kg,,,,,,,,,,,,,
2015,FRUIT,Pears,William's Bon Chretien,Ave,$/kg,,,,,,,,,,,,,
2015,FRUIT,Pears,Other,1st,$/kg,0.24,,0.66,0.61,,,,,,,,,
2015,FRUIT,Pears,Other,2nd,$/kg,0.44,0.42,,,,,,,,,,,
2015,FRUIT,Pears,Other,Ave,$/kg,0.37,0.42,0.66,0.61,,,,,,,,,
2015,FRUIT,Plums and Gages,Czar,-,$/kg,,,,,,,,,,,,,
2015,FRUIT,Plums and Gages,Majorie's Seedling,-,$/kg,,,,,,,,,,,,,
2015,FRUIT,Plums and Gages,Victoria,-,$/kg,,,,,,,,,,,,,
2015,FRUIT,Plums and Gages,Other Varieties,-,$/kg,,,,,,,,,,,,,
2015,FRUIT,Raspberries,All Varieties,-,$/kg,,,,,7.74,,,,,,,,
2015,FRUIT,Redcurrants,All Varieties,-,$/kg,,,,,,,,,,,,,
2015,FRUIT,Strawberries,All Varieties,1st,$/kg,,,,2.07,3.34,,,,,,,,
2015,FRUIT,Strawberries,All Varieties,2nd,$/kg,,,2.23,1.4,1.39,,,,,,,,
2015,FRUIT,Strawberries,All Varieties,Ave,$/kg,,,2.23,1.6,2.43,,,,,,,,
2015,VEGETABLES,Asparagus,All Varieties,-,$/kg,,,12.05,9.37,5.79,,,,,,,,
2015,VEGETABLES,Beetroot,Topped,-,$/kg,0.15,0.16,0.15,0.16,0.16,,,,,,,,
2015,VEGETABLES,Broad Beans,Broad,-,$/kg,,,,,2.26,,,,,,,,
2015,VEGETABLES,Brussels Sprouts,All Varieties,-,$/kg,0.25,0.25,0.26,0.25,,,,,,,,,
2015,VEGETABLES,Bulb Onions,Yellow,-,$/kg,0.26,0.29,0.27,0.3,0.32,,,,,,,,
2015,VEGETABLES,Bulb Onions,Red,-,$/kg,0.45,0.44,0.39,0.41,0.43,,,,,,,,
2015,VEGETABLES,Cabbage,Red,-,$/kg,0.3,0.3,0.3,0.33,0.38,,,,,,,,
2015,VEGETABLES,Cabbage,Savoy,-,$/head,0.35,0.37,0.38,0.41,0.41,,,,,,,,
2015,VEGETABLES,Cabbage,Spring Greens - Loose,-,$/kg,0.62,0.64,,,,,,,,,,,reported as combined item before 2007
2015,VEGETABLES,Cabbage,Spring Greens - Prepacked,-,$/kg,0.64,0.81,0.81,0.75,0.72,,,,,,,,
2015,VEGETABLES,Cabbage,Summer & Autumn-Pointed,-,$/kg,,,,0.46,0.5,,,,,,,,
2015,VEGETABLES,Cabbage,Summer & Autumn Round,-,$/head,0.34,0.31,0.39,0.42,0.48,,,,,,,,
2015,VEGETABLES,Cabbage,White,-,$/kg,0.26,0.26,0.28,0.29,0.36,,,,,,,,
2015,VEGETABLES,Cabbage,Winter Other,-,$/head,0.36,0.34,0.35,0.36,0.35,,,,,,,,
2015,VEGETABLES,Calabrese,All Varieties,-,$/kg,,,,,0.7,,,,,,,,
2015,VEGETABLES,Capsicums,Green,1st,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Capsicums,Green,2nd,$/kg,,,,0.69,0.75,,,,,,,,
2015,VEGETABLES,Capsicums,Green,Ave,$/kg,,,,0.69,0.75,,,,,,,,
2015,VEGETABLES,Capsicums,Red,1st,$/kg,,,,1.49,,,,,,,,,
2015,VEGETABLES,Capsicums,Red,2nd,$/kg,,,,,0.85,,,,,,,,
2015,VEGETABLES,Capsicums,Red,Ave,$/kg,,,,1.49,0.85,,,,,,,,
2015,VEGETABLES,Carrots,Topped-Washed,-,$/kg,0.27,0.27,0.27,0.32,0.43,,,,,,,,
2015,VEGETABLES,Cauliflowers,Kent,-,$/head,0.87,0.64,0.52,0.43,0.45,,,,,,,,
2015,VEGETABLES,Cauliflowers,All Other,-,$/head,0.74,0.59,0.46,0.42,0.43,,,,,,,,
2015,VEGETABLES,Celery,All Washed,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Courgettes,All Varieties,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Cucumbers,All Varieties,-,$/kg,,1.23,0.76,0.7,0.65,,,,,,,,
2015,VEGETABLES,Beans, French or Kidney,-,$/kg,,,,,,,,,,,,,
2015,VEGETABLES,Leeks,Trimmed,-,$/kg,0.35,0.38,0.37,0.37,0.37,,,,,,,,
2015,VEGETABLES,Lettuce,Butterhead - Indoor,1st,$/head,0.33,0.33,0.33,0.32,0.31,,,,,,,,
2015,VEGETABLES,Lettuce,Butterhead - Indoor,2nd,$/head,0.3,0.3,0.29,0.27,0.27,,,,,,,,
2015,VEGETABLES,Lettuce,Butterhead - Indoor,Ave,$/head,0.33,0.33,0.32,0.31,0.31,,,,,,,,
2015,VEGETABLES,Lettuce,Cos,1st,$/head,,,,,0.54,,,,,,,,
2015,VEGETABLES,Lettuce,Cos,2nd,$/head,,,,,0.38,,,,,,,,
2015,VEGETABLES,Lettuce,Cos,Ave,$/head,,,,,0.52,,,,,,,,
2015,VEGETABLES,Lettuce,Crisp-Iceberg Type,1st,$/head,,,,,0.36,,,,,,,,
2015,VEGETABLES,Lettuce,Crisp-Iceberg Type,2nd,$/head,,,,,0.17,,,,,,,,
2015,VEGETABLES,Lettuce,Crisp-Iceberg Type,Ave,$/head,,,,,0.36,,,,,,,,
2015,VEGETABLES,Lettuce,Little Gem,1st,$/twin,0.6,0.61,0.61,0.63,0.56,,,,,,,,
2015,VEGETABLES,Lettuce,Little Gem,2nd,$/twin,,,,,,,,,,,,,
2015,VEGETABLES,Lettuce,Little Gem,Ave,$/twin,0.6,0.61,0.61,0.63,0.56,,,,,,,,
